colony,date,distance,from,from_ID,from_ID_date,from_nest_size,from_x,from_y,network_ID,strength,to,to_ID,to_ID_date,to_nest_size,to_x,to_y,trail_ID,trail_type,tree_type,year,treatment,dataset
2b,22/08/2017,8.540722098,N12,2b_N12,2b_N12_2017-08-22,22.178,-1.65708636,0.079916936,2b_2017-08-22,0.2,T2,2b_T2,2b_T2_2017-08-22,1,0.741600717,8.276881878,2b_2017-08-22_N12_T2,foraging,regular,2017,exclusion,Empirical exclusion
2b,12/06/2018,7,N5,2b_N5,2b_N5_2018-06-12,40.49289019,6.475667202,4.26184993,2b_2018-06-12,0.5,T2,2b_T2,2b_T2_2018-06-12,1,0.741600717,8.276881878,2b_2018-06-12_N5_T2,foraging,regular,2018,exclusion,Empirical exclusion
2b,12/06/2018,8.540722098,N12,2b_N12,2b_N12_2018-06-12,20.75204671,-1.65708636,0.079916936,2b_2018-06-12,0.1,T2,2b_T2,2b_T2_2018-06-12,1,0.741600717,8.276881878,2b_2018-06-12_N12_T2,foraging,regular,2018,exclusion,Empirical exclusion
2b,27/06/2019,7,N5,2b_N5,2b_N5_2019-06-27,131.57418,6.475667202,4.26184993,2b_2019-06-27,0.5,T2,2b_T2,2b_T2_2019-06-27,1,0.741600717,8.276881878,2b_2019-06-27_N5_T2,foraging,regular,2019,exclusion,Empirical exclusion
2b,27/06/2019,8.540722098,N12,2b_N12,2b_N12_2019-06-27,37.78177768,-1.65708636,0.079916936,2b_2019-06-27,0.333,T2,2b_T2,2b_T2_2019-06-27,1,0.741600717,8.276881878,2b_2019-06-27_N12_T2,foraging,regular,2019,exclusion,Empirical exclusion
2b,10/08/2020,8.540722098,N12,2b_N12,2b_N12_2020-08-10,35.23300216,-1.65708636,0.079916936,2b_2020-08-10,0.13,T2,2b_T2,2b_T2_2020-08-10,1,0.741600717,8.276881878,2b_2020-08-10_N12_T2,foraging,regular,2020,exclusion,Empirical exclusion
2b,10/08/2020,7,N5,2b_N5,2b_N5_2020-08-10,81.28370872,6.475667202,4.26184993,2b_2020-08-10,0.01,T2,2b_T2,2b_T2_2020-08-10,1,0.741600717,8.276881878,2b_2020-08-10_N5_T2,foraging,regular,2020,exclusion,Empirical exclusion
2b,10/08/2020,11.52217437,N6,2b_N6,2b_N6_2020-08-10,38.92263507,12.24339362,7.591854726,2b_2020-08-10,0.02,T2,2b_T2,2b_T2_2020-08-10,1,0.741600717,8.276881878,2b_2020-08-10_N6_T2,foraging,regular,2020,exclusion,Empirical exclusion
2b,26/07/2012,6.300000004,N6,2b_N6,2b_N6_2012-07-26,15.784,12.24339362,7.591854726,2b_2012-07-26,0.05,T3,2b_T3,2b_T3_2012-07-26,1,9.883368433,13.43311154,2b_2012-07-26_N6_T3,foraging,focal,2012,exclusion,Estimation
2b,25/08/2015,9.783888143,N5,2b_N5,2b_N5_2015-08-25,21.489,6.475667202,4.26184993,2b_2015-08-25,0.333,T3,2b_T3,2b_T3_2015-08-25,1,9.883368433,13.43311154,2b_2015-08-25_N5_T3,foraging,focal,2015,exclusion,Estimation
2b,22/08/2016,17.64907655,N12,2b_N12,2b_N12_2016-08-22,11.959,-1.65708636,0.079916936,2b_2016-08-22,0.1,T3,2b_T3,2b_T3_2016-08-22,1,9.883368433,13.43311154,2b_2016-08-22_N12_T3,foraging,focal,2016,exclusion,Estimation
2b,22/08/2016,9.783888143,N5,2b_N5,2b_N5_2016-08-22,70.962,6.475667202,4.26184993,2b_2016-08-22,0.5,T3,2b_T3,2b_T3_2016-08-22,1,9.883368433,13.43311154,2b_2016-08-22_N5_T3,foraging,focal,2016,exclusion,Estimation
2b,22/08/2016,5.530757125,N9,2b_N9,2b_N9_2016-08-22,16.803,12.67419139,8.658116085,2b_2016-08-22,0.2,T3,2b_T3,2b_T3_2016-08-22,1,9.883368433,13.43311154,2b_2016-08-22_N9_T3,foraging,focal,2016,exclusion,Estimation
2b,28/08/2013,9.783888143,N5,2b_N5,2b_N5_2013-08-28,77.892,6.475667202,4.26184993,2b_2013-08-28,0.067,T3,2b_T3,2b_T3_2013-08-28,1,9.883368433,13.43311154,2b_2013-08-28_N5_T3,foraging,focal,2013,exclusion,Estimation
2b,28/08/2013,5.530757125,N9,2b_N9,2b_N9_2013-08-28,21.113,12.67419139,8.658116085,2b_2013-08-28,0.083,T3,2b_T3,2b_T3_2013-08-28,1,9.883368433,13.43311154,2b_2013-08-28_N9_T3,foraging,focal,2013,exclusion,Estimation
2b,25/08/2014,17.64907655,N12,2b_N12,2b_N12_2014-08-25,28.828,-1.65708636,0.079916936,2b_2014-08-25,0.333,T3,2b_T3,2b_T3_2014-08-25,1,9.883368433,13.43311154,2b_2014-08-25_N12_T3,foraging,focal,2014,exclusion,Estimation
2b,25/08/2014,5.530757125,N9,2b_N9,2b_N9_2014-08-25,3.33,12.67419139,8.658116085,2b_2014-08-25,0.033,T3,2b_T3,2b_T3_2014-08-25,1,9.883368433,13.43311154,2b_2014-08-25_N9_T3,foraging,focal,2014,exclusion,Estimation
2b,12/06/2018,9.783888143,N5,2b_N5,2b_N5_2018-06-12,40.49289019,6.475667202,4.26184993,2b_2018-06-12,0.2,T3,2b_T3,2b_T3_2018-06-12,1,9.883368433,13.43311154,2b_2018-06-12_N5_T3,foraging,focal,2018,exclusion,Empirical exclusion
