network_ID,colony,date,node_ID,ID,x,y,species,nest.size,year,tree_type,treatment,dataset
10_2015-08-25,10,25/08/2015,10_N22,N22,7.875320582,-3.774521888,nest,1.938,2015,regular,exclusion,Estimation
10_2015-08-25,10,25/08/2015,10_N23,N23,-9.258738631,-4.234060189,nest,1.386,2015,regular,exclusion,Estimation
10_2015-08-25,10,25/08/2015,10_N24,N24,-12.16970665,-6.676654133,nest,1.227,2015,regular,exclusion,Estimation
10_2015-08-25,10,25/08/2015,10_N25,N25,-13.45841373,-6.129631212,nest,2.727,2015,regular,exclusion,Estimation
10_2015-08-25,10,25/08/2015,10_N5,N5,-8.721187098,-2.833689399,nest,24.389,2015,regular,exclusion,Estimation
10_2015-08-25,10,25/08/2015,10_N6,N6,0,0,nest,27.908,2015,regular,exclusion,Estimation
10_2015-08-25,10,25/08/2015,10_N7,N7,2.944484959,1.700002449,nest,33.792,2015,regular,exclusion,Estimation
10_2015-08-25,10,25/08/2015,10_N8,N8,9.078799856,-1.510684525,nest,26.357,2015,regular,exclusion,Estimation
10_2015-08-25,10,25/08/2015,10_N9,N9,10.95238094,-0.901920281,nest,44.991,2015,regular,exclusion,Estimation
10_2015-08-25,10,25/08/2015,10_T2,T2,-12.14134291,-11.29887896,tree,0,2015,regular,exclusion,Estimation
10_2015-08-25,10,25/08/2015,10_T5,T5,-0.664830998,-19.03839541,tree,0,2015,regular,exclusion,Estimation
10_2015-08-25,10,25/08/2015,10_T8,T8,13.73797786,-12.32148889,tree,0,2015,focal,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_N11,N11,6.83379828,-10.24273476,nest,9.11,2016,regular,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_N14,N14,11.08970906,-12.97013617,nest,12.113,2016,regular,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_N21,N21,7.027442128,-6.547805524,nest,18.583,2016,regular,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_N22,N22,7.875320582,-3.774521888,nest,9.829,2016,regular,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_N24,N24,-12.16970665,-6.676654133,nest,4.589,2016,regular,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_N25,N25,-13.45841373,-6.129631212,nest,5.686,2016,regular,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_N26,N26,0,6.76,nest,16.895,2016,regular,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_N27,N27,4.68335968,-0.414780487,nest,4.955,2016,regular,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_N5,N5,-8.721187098,-2.833689399,nest,8.355,2016,regular,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_N6,N6,0,0,nest,1.265,2016,regular,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_N7,N7,2.944484959,1.700002449,nest,0.513,2016,regular,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_N8,N8,9.078799856,-1.510684525,nest,1.434,2016,regular,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_N9,N9,10.95238094,-0.901920281,nest,8.493,2016,regular,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_T2,T2,-12.14134291,-11.29887896,tree,0,2016,regular,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_T4,T4,-8.269235745,-15.77580051,tree,0,2016,regular,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_T5,T5,-0.664830998,-19.03839541,tree,0,2016,regular,exclusion,Estimation
10_2016-08-22,10,22/08/2016,10_T8,T8,13.73797786,-12.32148889,tree,0,2016,focal,exclusion,Estimation
10_2017-08-22,10,22/08/2017,10_N11,N11,6.83379828,-10.24273476,nest,3.414,2017,regular,exclusion,Empirical exclusion
10_2017-08-22,10,22/08/2017,10_N14,N14,11.08970906,-12.97013617,nest,6.911,2017,regular,exclusion,Empirical exclusion
10_2017-08-22,10,22/08/2017,10_N21,N21,7.027442128,-6.547805524,nest,0.657,2017,regular,exclusion,Empirical exclusion
10_2017-08-22,10,22/08/2017,10_N22,N22,7.875320582,-3.774521888,nest,1.55,2017,regular,exclusion,Empirical exclusion
10_2017-08-22,10,22/08/2017,10_N29,N29,11.80481966,3.108484715,nest,1.112,2017,regular,exclusion,Empirical exclusion
10_2017-08-22,10,22/08/2017,10_N30,N30,-9.018478447,-1.723714171,nest,2.344,2017,regular,exclusion,Empirical exclusion
10_2017-08-22,10,22/08/2017,10_N31,N31,-10.49764432,1.44836217,nest,1.322,2017,regular,exclusion,Empirical exclusion
10_2017-08-22,10,22/08/2017,10_N32,N32,-5.670131804,-2.314116372,nest,0.69,2017,regular,exclusion,Empirical exclusion
10_2017-08-22,10,22/08/2017,10_N33,N33,2.830430511,-5.506253815,nest,1.128,2017,regular,exclusion,Empirical exclusion
10_2017-08-22,10,22/08/2017,10_N34,N34,7.525539478,-6.504227659,nest,1.08,2017,regular,exclusion,Empirical exclusion
10_2017-08-22,10,22/08/2017,10_N35,N35,1.29241198,-5.94727422,nest,0.484,2017,regular,exclusion,Empirical exclusion
