"dataset","colony","date","num_nests","num_trees","num_foraging","num_internest","trees_to_nests_rat","internest_to_nests_rat","foraging_to_nests_rat","num_components_nests","edge_density","edge_density_nests","network_efficiency","network_efficiency_nests","network_robustness","network_robustness_nests","network_cost","network_cost_nests","resource_capital","resource_variance"
"Estimation","2a",2012-07-26,4,2,2,4,0.5,1,0.5,1,0.2,0.333333333333333,0.138525354467277,0.201481847488424,0.847777777777778,0.866666666666667,32.8306648213218,18.9406648246161,0.065798029308813,0.0147511090623995
"Estimation","2a",2013-08-28,4,2,3,3,0.5,0.75,0.75,1,0.2,0.25,0.11873934352233,0.156275919932197,0.847777777777778,0.555555555555555,35.9782219373063,14.4632429598321,0.00281014442831487,1.29738748169875e-05
"Estimation","2a",2014-08-25,4,2,3,4,0.5,1,0.75,1,0.233333333333333,0.333333333333333,0.139989318346202,0.204654182855949,0.880580357142857,0.808333333333333,42.8519861928818,16.9632429597836,0.0293693146980983,0.00285874526346822
"Estimation","2a",2015-08-25,4,3,4,3,0.75,0.75,1,1,0.166666666666667,0.25,0.0915606686080471,0.156275919932197,0.80765639589169,0.555555555555555,59.5519861883053,14.4632429598321,0.0293760223266625,0.00170762574498351
"Estimation","2a",2016-08-22,4,3,5,4,0.75,1,1.25,1,0.214285714285714,0.333333333333333,0.110795984843036,0.204654182855949,0.883234714003945,0.808333333333333,67.9866532814955,16.9632429597836,0.0284082246997944,0.00018773567599185
"Empirical control","2a",2017-08-22,5,2,2,4,0.4,0.8,0.4,1,0.142857142857143,0.2,0.107417442828548,0.138189729036415,0.714285714285714,0.642857142857143,34.3532429569986,20.4632429602929,0.0116785651281697,0.000291826661780482
"Empirical control","2a",2018-06-12,4,2,2,3,0.5,0.75,0.5,1,0.166666666666667,0.25,0.0932748888698964,0.115278260389653,0.669724770642202,0.555555555555555,41.2032429554412,27.3132429587355,0.00791478080774505,8.93933991895785e-05
"Empirical control","2a",2019-06-27,4,2,3,3,0.5,0.75,0.75,1,0.2,0.25,0.1164605896278,0.156275919932197,0.835897435897436,0.555555555555555,37.793499490149,14.4632429598321,0.0143763321092905,0.00014778760196057
"Empirical control","2a",2020-08-10,4,2,2,2,0.5,0.5,0.5,2,0.133333333333333,0.166666666666667,0.0761043550148733,0.091472753230373,0.61038961038961,0.4,24.1709589749419,9.11324295973361,0.000563659663288061,4.69580043528568e-07
"Estimation","2b",2012-07-26,6,3,5,6,0.5,1,0.833333333333333,1,0.152777777777778,0.2,0.184707971399007,0.34143325621764,0.914731945526111,0.835897435897436,72.3873558796963,29.0453371630815,0.0053466957477222,2.31208524536129e-05
